transaction_id,store_id,product_id,quantity_sold,unit_price,total_amount,sale_date
50134,4,1002,6,35.0,210.0,2024-09-12
50135,2,1004,8,180.0,1440.0,2024-12-10
50136,2,1014,7,35.0,245.0,2024-09-15
50137,2,1001,6,450.0,2700.0,2024-04-07
50138,3,1002,3,35.0,105.0,2024-06-03
50139,2,1012,2,40.0,80.0,2024-08-13
50140,4,1007,4,45.0,180.0,2024-08-05
50141,1,1002,5,35.0,175.0,2024-02-18
50142,3,1010,1,25.0,25.0,2024-08-23
50143,4,1003,1,55.0,55.0,2024-07-20
50144,4,1004,2,180.0,360.0,2024-06-08
50145,5,1008,6,65.0,390.0,2024-05-13
50146,2,1012,3,40.0,120.0,2024-01-18
50147,1,1008,8,65.0,520.0,2024-11-13
50148,4,1002,10,35.0,350.0,2024-06-30
50149,1,1002,8,35.0,280.0,2024-02-17
50150,1,1003,4,55.0,220.0,2024-06-29
50151,3,1011,2,30.0,60.0,2024-11-07
50152,2,1014,9,35.0,315.0,2024-12-29
50153,1,1007,7,45.0,315.0,2024-03-26
50154,1,1004,5,180.0,900.0,2024-05-26
50155,5,1010,4,25.0,100.0,2024-03-18
50156,2,1014,5,35.0,175.0,2024-07-30
50157,5,1009,8,85.0,680.0,2024-07-19
50158,3,1005,6,185.0,1110.0,2024-07-20
50159,1,1014,5,35.0,175.0,2024-01-23
50160,5,1013,4,120.0,480.0,2024-04-10
50161,4,1004,5,180.0,900.0,2024-02-09
50162,2,1002,6,35.0,210.0,2024-02-23
50163,4,1006,10,120.0,1200.0,2024-01-15
50164,3,1010,5,25.0,125.0,2024-09-06
50165,1,1004,2,180.0,360.0,2024-05-22
50166,2,1013,3,120.0,360.0,2024-02-05
50167,5,1008,10,65.0,650.0,2024-08-14
50168,3,1014,5,35.0,175.0,2024-01-29
50169,5,1004,8,180.0,1440.0,2024-07-04
50170,4,1006,8,120.0,960.0,2024-11-21
50171,5,1001,8,450.0,3600.0,2024-10-01
50172,4,1005,10,185.0,1850.0,2024-01-22
50173,2,1009,5,85.0,425.0,2024-02-06
50174,2,1009,5,85.0,425.0,2024-02-15
50175,3,1007,7,45.0,315.0,2024-10-09
50176,5,1005,9,185.0,1665.0,2024-07-06
50177,3,1001,7,450.0,3150.0,2024-10-14
50178,4,1010,8,25.0,200.0,2024-06-01
50179,4,1008,10,65.0,650.0,2024-12-16
50180,5,1010,6,25.0,150.0,2024-04-14
50181,2,1007,2,45.0,90.0,2024-08-05
50182,1,1004,7,180.0,1260.0,2024-04-01
50183,4,1008,3,65.0,195.0,2024-07-13
50184,5,1010,6,25.0,150.0,2024-08-03
50185,4,1012,5,40.0,200.0,2024-06-25
50186,4,1011,4,30.0,120.0,2024-11-03
50187,2,1002,2,35.0,70.0,2024-05-30
50188,3,1008,5,65.0,325.0,2024-02-20
50189,1,1004,2,180.0,360.0,2024-11-11
50190,5,1009,2,85.0,170.0,2024-01-01
50191,2,1014,2,35.0,70.0,2024-12-19
50192,1,1011,9,30.0,270.0,2024-04-24
50193,4,1005,10,185.0,1850.0,2024-08-20
50194,1,1002,9,35.0,315.0,2024-05-20
50195,4,1010,1,25.0,25.0,2024-12-03
50196,3,1004,8,180.0,1440.0,2024-12-04
50197,5,1004,3,180.0,540.0,2024-03-30
50198,4,1012,7,40.0,280.0,2024-08-22
50199,2,1008,6,65.0,390.0,2024-10-31
50200,1,1011,8,30.0,240.0,2024-02-14
50201,5,1011,3,30.0,90.0,2024-07-20
50202,3,1011,7,30.0,210.0,2024-09-30
50203,2,1005,6,185.0,1110.0,2024-10-15
50204,1,1008,7,65.0,455.0,2024-10-23
50205,4,1014,10,35.0,350.0,2024-05-05
50206,1,1007,3,45.0,135.0,2024-07-02
50207,2,1014,5,35.0,175.0,2024-11-29
50208,4,1013,6,120.0,720.0,2024-08-21
50209,1,1002,4,35.0,140.0,2024-10-24
50210,3,1010,3,25.0,75.0,2024-05-08
50211,4,1010,4,25.0,100.0,2024-07-21
50212,1,1014,6,35.0,210.0,2024-11-26
50213,1,1009,2,85.0,170.0,2024-07-15
50214,2,1011,8,30.0,240.0,2024-08-27
50215,4,1012,9,40.0,360.0,2024-10-17
50216,4,1007,6,45.0,270.0,2024-02-25
50217,5,1008,7,65.0,455.0,2024-03-02
50218,5,1007,6,45.0,270.0,2024-06-29
50219,2,1005,2,185.0,370.0,2024-05-18
50220,3,1005,10,185.0,1850.0,2024-01-04
50221,3,1011,3,30.0,90.0,2024-10-28
50222,3,1010,3,25.0,75.0,2024-12-20
50223,1,1014,7,35.0,245.0,2024-11-08
50224,3,1006,6,120.0,720.0,2024-06-29
50225,4,1006,2,120.0,240.0,2024-02-13
50226,5,1014,5,35.0,175.0,2024-01-04
50227,1,1004,9,180.0,1620.0,2024-03-08
50228,1,1002,2,35.0,70.0,2024-03-30
50229,4,1005,4,185.0,740.0,2024-05-29
50230,4,1013,10,120.0,1200.0,2024-01-14
50231,3,1013,10,120.0,1200.0,2024-04-20
50232,1,1014,6,35.0,210.0,2024-03-01
50233,3,1005,1,185.0,185.0,2024-09-03
50234,5,1005,4,185.0,740.0,2024-06-13
50235,3,1013,9,120.0,1080.0,2024-11-27
50236,1,1013,7,120.0,840.0,2024-07-24
50237,4,1007,2,45.0,90.0,2024-10-21
50238,5,1012,2,40.0,80.0,2024-03-11
50239,1,1003,1,55.0,55.0,2024-04-07
50240,5,1003,4,55.0,220.0,2024-12-07
50241,5,1010,9,25.0,225.0,2024-05-01
50242,4,1008,8,65.0,520.0,2024-11-02
50243,5,1012,5,40.0,200.0,2024-04-01
50244,3,1008,7,65.0,455.0,2024-11-24
50245,3,1001,3,450.0,1350.0,2024-07-23
50246,2,1010,1,25.0,25.0,2024-02-15
50247,3,1008,4,65.0,260.0,2024-05-20
50248,5,1002,3,35.0,105.0,2024-07-17
50249,2,1008,4,65.0,260.0,2024-03-29
50250,3,1010,6,25.0,150.0,2024-10-23
50251,5,1010,6,25.0,150.0,2024-07-09
50252,5,1012,10,40.0,400.0,2024-04-24
50253,5,1004,9,180.0,1620.0,2024-11-12
50254,5,1012,2,40.0,80.0,2024-05-18
50255,4,1008,7,65.0,455.0,2024-04-27
50256,1,1014,8,35.0,280.0,2024-03-17
50257,4,1014,5,35.0,175.0,2024-03-19
50258,4,1001,6,450.0,2700.0,2024-07-28
50259,2,1002,1,35.0,35.0,2024-06-28
50260,2,1007,1,45.0,45.0,2024-12-16
50261,1,1013,6,120.0,720.0,2024-03-02
50262,3,1002,6,35.0,210.0,2024-02-01
50263,4,1013,5,120.0,600.0,2024-03-08
50264,5,1014,5,35.0,175.0,2024-11-09
50265,3,1010,6,25.0,150.0,2024-06-23
50266,2,1010,8,25.0,200.0,2024-07-20
50267,1,1014,3,35.0,105.0,2024-10-22
50268,4,1002,8,35.0,280.0,2024-05-04
50269,5,1008,5,65.0,325.0,2024-07-14
50270,1,1012,9,40.0,360.0,2024-04-03
50271,1,1008,8,65.0,520.0,2024-11-13
50272,2,1005,9,185.0,1665.0,2024-04-18
50273,2,1012,8,40.0,320.0,2024-09-01
50274,2,1007,1,45.0,45.0,2024-02-24
50275,3,1010,3,25.0,75.0,2024-06-29
50276,3,1003,10,55.0,550.0,2024-05-22
50277,5,1013,7,120.0,840.0,2024-08-13
50278,5,1009,8,85.0,680.0,2024-08-08
50279,1,1007,3,45.0,135.0,2024-05-01
50280,5,1007,1,45.0,45.0,2024-03-02
50281,1,1013,6,120.0,720.0,2024-01-01
50282,3,1004,6,180.0,1080.0,2024-07-26
50283,3,1010,10,25.0,250.0,2024-09-05
50284,3,1008,3,65.0,195.0,2024-03-31
50285,2,1004,10,180.0,1800.0,2024-07-08
50286,4,1011,10,30.0,300.0,2024-05-25
50287,3,1014,8,35.0,280.0,2024-02-07
50288,3,1014,8,35.0,280.0,2024-02-20
50289,2,1006,2,120.0,240.0,2024-11-07
50290,5,1002,1,35.0,35.0,2024-02-12
50291,2,1011,9,30.0,270.0,2024-11-15
50292,5,1012,8,40.0,320.0,2024-01-13
50293,4,1010,4,25.0,100.0,2024-08-18
50294,4,1008,7,65.0,455.0,2024-03-01
50295,3,1008,3,65.0,195.0,2024-09-27
50296,5,1012,8,40.0,320.0,2024-01-30
50297,4,1013,7,120.0,840.0,2024-06-16
50298,4,1011,10,30.0,300.0,2024-01-07
50299,5,1006,1,120.0,120.0,2024-03-03
50300,4,1007,1,45.0,45.0,2024-04-18
50301,2,1008,7,65.0,455.0,2024-05-15
50302,5,1005,8,185.0,1480.0,2024-04-30
50303,2,1006,8,120.0,960.0,2024-03-01
50304,5,1009,3,85.0,255.0,2024-07-18
50305,3,1001,5,450.0,2250.0,2024-01-25
50306,5,1009,7,85.0,595.0,2024-12-30
50307,2,1004,9,180.0,1620.0,2024-12-10
50308,4,1009,9,85.0,765.0,2024-03-17
50309,3,1013,8,120.0,960.0,2024-01-12
50310,1,1012,2,40.0,80.0,2024-01-17
50311,2,1006,4,120.0,480.0,2024-03-18
50312,1,1008,10,65.0,650.0,2024-11-17
50313,1,1014,6,35.0,210.0,2024-05-11
50314,5,1006,8,120.0,960.0,2024-01-27
50315,1,1001,2,450.0,900.0,2024-05-31
50316,1,1014,7,35.0,245.0,2024-12-23
50317,2,1014,8,35.0,280.0,2024-09-13
50318,4,1005,3,185.0,555.0,2024-05-26
50319,1,1014,3,35.0,105.0,2024-10-22
50320,2,1005,8,185.0,1480.0,2024-06-27
50321,5,1013,10,120.0,1200.0,2024-08-20
50322,4,1009,6,85.0,510.0,2024-03-01
50323,3,1005,8,185.0,1480.0,2024-10-09
50324,5,1009,1,85.0,85.0,2024-03-28
50325,4,1012,6,40.0,240.0,2024-01-29
50326,5,1005,9,185.0,1665.0,2024-12-06
50327,4,1001,3,450.0,1350.0,2024-09-08
50328,5,1004,5,180.0,900.0,2024-11-23
50329,2,1012,10,40.0,400.0,2024-12-09
50330,1,1004,3,180.0,540.0,2024-11-15
50331,4,1002,6,35.0,210.0,2024-09-15
50332,2,1007,10,45.0,450.0,2024-07-21
50333,2,1008,4,65.0,260.0,2024-09-12
50334,1,1003,2,55.0,110.0,2024-01-09
50335,3,1006,9,120.0,1080.0,2024-09-26
50336,1,1011,4,30.0,120.0,2024-02-02
50337,4,1010,8,25.0,200.0,2024-03-06
50338,3,1001,1,450.0,450.0,2024-02-05
50339,1,1012,8,40.0,320.0,2024-08-25
50340,1,1007,9,45.0,405.0,2024-06-29
50341,3,1003,8,55.0,440.0,2024-11-11
50342,2,1013,5,120.0,600.0,2024-10-03
50343,1,1014,5,35.0,175.0,2024-07-08
50344,4,1014,10,35.0,350.0,2024-09-03
50345,4,1001,3,450.0,1350.0,2024-09-09
50346,1,1014,8,35.0,280.0,2024-09-04
50347,1,1013,2,120.0,240.0,2024-05-16
50348,5,1007,5,45.0,225.0,2024-11-19
50349,1,1003,1,55.0,55.0,2024-03-03
50350,4,1008,3,65.0,195.0,2024-10-04
50351,1,1005,6,185.0,1110.0,2024-01-28
50352,2,1014,5,35.0,175.0,2024-09-11
50353,5,1008,1,65.0,65.0,2024-05-02
50354,2,1007,10,45.0,450.0,2024-02-27
50355,2,1011,9,30.0,270.0,2024-01-19
50356,1,1011,5,30.0,150.0,2024-02-23
50357,3,1014,6,35.0,210.0,2024-02-03
50358,3,1009,5,85.0,425.0,2024-01-05
50359,4,1012,10,40.0,400.0,2024-04-07
50360,4,1005,6,185.0,1110.0,2024-10-06
50361,2,1010,5,25.0,125.0,2024-09-06
50362,1,1011,1,30.0,30.0,2024-04-22
50363,3,1014,6,35.0,210.0,2024-08-17
50364,5,1005,9,185.0,1665.0,2024-03-25
50365,5,1012,9,40.0,360.0,2024-11-17
50366,1,1004,10,180.0,1800.0,2024-05-24
50367,3,1002,3,35.0,105.0,2024-04-15
50368,2,1003,3,55.0,165.0,2024-07-12
50369,1,1008,5,65.0,325.0,2024-08-10
50370,3,1002,5,35.0,175.0,2024-02-14
50371,2,1011,1,30.0,30.0,2024-11-22
50372,5,1004,6,180.0,1080.0,2024-12-03
50373,2,1001,5,450.0,2250.0,2024-12-18
50374,4,1007,4,45.0,180.0,2024-02-12
50375,4,1009,5,85.0,425.0,2024-02-29
50376,3,1001,9,450.0,4050.0,2024-12-25
50377,1,1010,2,25.0,50.0,2024-03-31
50378,4,1004,10,180.0,1800.0,2024-02-22
50379,3,1005,6,185.0,1110.0,2024-08-07
50380,4,1012,7,40.0,280.0,2024-08-16
50381,1,1013,10,120.0,1200.0,2024-04-02
50382,5,1012,7,40.0,280.0,2024-03-29
50383,5,1010,3,25.0,75.0,2024-03-24
50384,4,1009,3,85.0,255.0,2024-07-10
50385,2,1012,2,40.0,80.0,2024-05-24
50386,3,1002,4,35.0,140.0,2024-12-25
50387,1,1007,7,45.0,315.0,2024-09-23
50388,5,1006,7,120.0,840.0,2024-01-29
50389,1,1002,7,35.0,245.0,2024-12-25
50390,3,1008,6,65.0,390.0,2024-07-20
50391,3,1012,10,40.0,400.0,2024-08-04
50392,2,1001,10,450.0,4500.0,2024-02-13
50393,5,1001,1,450.0,450.0,2024-12-22
50394,3,1012,7,40.0,280.0,2024-06-27
50395,1,1008,8,65.0,520.0,2024-07-22
50396,2,1006,8,120.0,960.0,2024-08-30
50397,5,1013,3,120.0,360.0,2024-12-22
50398,1,1011,1,30.0,30.0,2024-10-31
50399,1,1001,3,450.0,1350.0,2024-07-16
50400,3,1005,5,185.0,925.0,2024-11-08
50401,1,1004,5,180.0,900.0,2024-10-23
50402,5,1005,6,185.0,1110.0,2024-09-16
50403,4,1002,7,35.0,245.0,2024-06-11
50404,4,1013,1,120.0,120.0,2024-12-19
50405,5,1009,4,85.0,340.0,2024-12-12
50406,5,1013,9,120.0,1080.0,2024-08-30
50407,4,1012,2,40.0,80.0,2024-02-23
50408,4,1014,1,35.0,35.0,2024-05-28
50409,1,1001,7,450.0,3150.0,2024-03-27
50410,4,1006,8,120.0,960.0,2024-01-27
50411,5,1008,4,65.0,260.0,2024-04-06
50412,2,1007,4,45.0,180.0,2024-01-22
50413,2,1013,7,120.0,840.0,2024-10-13
50414,2,1006,1,120.0,120.0,2024-11-05
50415,3,1002,10,35.0,350.0,2024-08-16
50416,1,1006,8,120.0,960.0,2024-01-29
50417,1,1005,5,185.0,925.0,2024-09-03
50418,3,1012,9,40.0,360.0,2024-12-26
50419,3,1004,5,180.0,900.0,2024-06-12
50420,2,1005,1,185.0,185.0,2024-04-06
50421,5,1007,5,45.0,225.0,2024-04-06
50422,5,1001,3,450.0,1350.0,2024-06-20
50423,1,1009,4,85.0,340.0,2024-01-31
50424,1,1001,9,450.0,4050.0,2024-08-27
50425,5,1005,3,185.0,555.0,2024-04-10
50426,4,1001,1,450.0,450.0,2024-07-26
50427,4,1001,9,450.0,4050.0,2024-05-31
50428,1,1003,2,55.0,110.0,2024-04-22
50429,4,1014,2,35.0,70.0,2024-03-17
50430,3,1014,8,35.0,280.0,2024-11-14
50431,2,1007,10,45.0,450.0,2024-01-18
50432,5,1007,6,45.0,270.0,2024-12-02
50433,5,1006,7,120.0,840.0,2024-01-26
50434,3,1006,3,120.0,360.0,2024-10-06
50435,1,1013,10,120.0,1200.0,2024-06-15
50436,3,1009,10,85.0,850.0,2024-10-17
50437,3,1001,4,450.0,1800.0,2024-10-07
50438,2,1004,7,180.0,1260.0,2024-10-12
50439,3,1012,9,40.0,360.0,2024-11-12
50440,4,1001,7,450.0,3150.0,2024-01-08
50441,2,1003,9,55.0,495.0,2024-01-23
50442,3,1012,5,40.0,200.0,2024-03-02
50443,4,1006,1,120.0,120.0,2024-04-10
50444,3,1013,4,120.0,480.0,2024-05-13
50445,2,1014,8,35.0,280.0,2024-05-06
50446,5,1009,4,85.0,340.0,2024-10-01
50447,4,1007,3,45.0,135.0,2024-03-10
50448,3,1010,7,25.0,175.0,2024-03-25
50449,2,1005,9,185.0,1665.0,2024-08-31
50450,2,1005,9,185.0,1665.0,2024-09-29
50451,3,1008,9,65.0,585.0,2024-05-18
50452,3,1001,4,450.0,1800.0,2024-10-13
50453,1,1005,8,185.0,1480.0,2024-04-07
50454,1,1009,5,85.0,425.0,2024-08-11
50455,5,1004,7,180.0,1260.0,2024-02-01
50456,2,1003,5,55.0,275.0,2024-07-23
50457,2,1007,6,45.0,270.0,2024-06-12
50458,3,1006,7,120.0,840.0,2024-06-10
50459,2,1013,9,120.0,1080.0,2024-09-29
50460,4,1009,7,85.0,595.0,2024-02-17
50461,1,1012,8,40.0,320.0,2024-07-05
50462,2,1005,6,185.0,1110.0,2024-03-08
50463,5,1009,8,85.0,680.0,2024-11-10
50464,5,1002,5,35.0,175.0,2024-07-18
50465,3,1009,8,85.0,680.0,2024-02-02
50466,3,1013,2,120.0,240.0,2024-07-20
50467,2,1011,7,30.0,210.0,2024-07-06
50468,2,1006,10,120.0,1200.0,2024-08-05
50469,1,1005,5,185.0,925.0,2024-11-21
50470,1,1013,1,120.0,120.0,2024-10-03
50471,1,1002,7,35.0,245.0,2024-02-04
50472,2,1008,10,65.0,650.0,2024-07-03
50473,3,1011,1,30.0,30.0,2024-11-10
50474,3,1001,4,450.0,1800.0,2024-07-27
50475,1,1003,7,55.0,385.0,2024-09-05
50476,1,1003,2,55.0,110.0,2024-09-09
50477,3,1004,7,180.0,1260.0,2024-12-27
50478,3,1011,5,30.0,150.0,2024-06-29
50479,4,1004,7,180.0,1260.0,2024-06-24
50480,2,1004,4,180.0,720.0,2024-01-27
50481,5,1010,5,25.0,125.0,2024-06-03
50482,5,1005,1,185.0,185.0,2024-02-12
50483,5,1007,7,45.0,315.0,2024-04-27
50484,5,1009,9,85.0,765.0,2024-09-30
50485,1,1005,6,185.0,1110.0,2024-10-13
50486,3,1011,1,30.0,30.0,2024-10-01
50487,2,1004,7,180.0,1260.0,2024-09-14
50488,2,1002,6,35.0,210.0,2024-06-24
50489,4,1003,10,55.0,550.0,2024-09-14
50490,1,1006,7,120.0,840.0,2024-09-27
50491,4,1007,8,45.0,360.0,2024-10-03
50492,4,1002,10,35.0,350.0,2024-09-07
50493,5,1013,6,120.0,720.0,2024-12-20
50494,5,1010,1,25.0,25.0,2024-08-11
50495,3,1006,7,120.0,840.0,2024-07-15
50496,1,1008,9,65.0,585.0,2024-12-08
50497,3,1011,2,30.0,60.0,2024-07-28
50498,3,1010,2,25.0,50.0,2024-09-20
50499,2,1014,1,35.0,35.0,2024-12-30
50500,3,1004,2,180.0,360.0,2024-11-27
60500,3,1004,2,180.0,360.0,2024-11-27
50501,3,1012,3,40.0,120.0,2024-10-23
50502,2,1013,6,120.0,720.0,2024-03-15
50503,2,1011,4,30.0,120.0,2024-09-12
50504,1,1004,10,180.0,1800.0,2024-12-27
50505,2,1014,8,35.0,280.0,2024-07-12
50506,1,1004,3,180.0,540.0,2024-07-04
50507,3,1002,9,35.0,315.0,2024-06-22
50508,4,1003,2,55.0,110.0,2024-02-20
50509,1,1005,4,185.0,740.0,2024-05-17
50510,3,1006,6,120.0,720.0,2024-07-11
50511,2,1010,7,25.0,175.0,2024-05-05
50512,3,1003,2,55.0,110.0,2024-07-19
50513,4,1005,3,185.0,555.0,2024-06-16
50514,3,1014,1,35.0,35.0,2024-09-06
50515,3,1004,3,180.0,540.0,2024-11-05
50516,4,1011,5,30.0,150.0,2024-08-12
50517,3,1009,6,85.0,510.0,2024-03-18
50518,3,1005,5,185.0,925.0,2024-12-08
50519,5,1008,1,65.0,65.0,2024-03-05
50520,1,1001,1,450.0,450.0,2024-11-17
50521,2,1006,7,120.0,840.0,2024-06-26
50522,1,1001,9,450.0,4050.0,2024-08-29
50523,2,1005,2,185.0,370.0,2024-09-05
50524,3,1009,7,85.0,595.0,2024-11-03
50525,2,1005,2,185.0,370.0,2024-03-17
50526,4,1011,10,30.0,300.0,2024-10-09
50527,3,1007,5,45.0,225.0,2024-08-06
50528,2,1001,5,450.0,2250.0,2024-11-21
50529,5,1005,10,185.0,1850.0,2024-02-10
50530,1,1008,7,65.0,455.0,2024-11-03
50531,5,1004,7,180.0,1260.0,2024-03-25
50532,3,1007,7,45.0,315.0,2024-02-27
50533,2,1006,9,120.0,1080.0,2024-07-05
50534,4,1003,4,55.0,220.0,2024-03-24
50535,4,1014,5,35.0,175.0,2024-12-11
50536,5,1006,10,120.0,1200.0,2024-06-21
50537,5,1004,4,180.0,720.0,2024-02-08
50538,3,1009,5,85.0,425.0,2024-03-10
50539,1,1014,5,35.0,175.0,2024-11-14
50540,5,1006,1,120.0,120.0,2024-10-28
50541,4,1007,1,45.0,45.0,2024-12-16
50542,3,1014,2,35.0,70.0,2024-01-26
50543,1,1008,8,65.0,520.0,2024-02-27
50544,1,1002,9,35.0,315.0,2024-04-13
50545,3,1014,7,35.0,245.0,2024-02-11
50546,3,1010,8,25.0,200.0,2024-06-29
50547,3,1004,7,180.0,1260.0,2024-05-24
50548,3,1006,9,120.0,1080.0,2024-12-12
50549,2,1003,6,55.0,330.0,2024-09-20
50550,4,1012,7,40.0,280.0,2024-09-16
50551,3,1013,7,120.0,840.0,2024-08-25
50552,3,1001,1,450.0,450.0,2024-09-03
